state,popestimate2019,fips
01,4903185,01000
01,55869,01001
01,223234,01003
01,24686,01005
01,22394,01007
01,57826,01009
01,10101,01011
01,19448,01013
01,113605,01015
01,33254,01017
01,26196,01019
01,44428,01021
01,12589,01023
01,23622,01025
01,13235,01027
01,14910,01029
01,52342,01031
01,55241,01033
01,12067,01035
01,10663,01037
01,37049,01039
01,13772,01041
01,83768,01043
01,49172,01045
01,37196,01047
01,71513,01049
01,81209,01051
01,36633,01053
01,102268,01055
01,16302,01057
01,31362,01059
01,26271,01061
01,8111,01063
01,14651,01065
01,17205,01067
01,105882,01069
01,51626,01071
01,658573,01073
01,13805,01075
01,92729,01077
01,32924,01079
01,164542,01081
01,98915,01083
01,9726,01085
01,18068,01087
01,372909,01089
01,18863,01091
01,29709,01093
01,96774,01095
01,413210,01097
01,20733,01099
01,226486,01101
01,119679,01103
01,8923,01105
01,19930,01107
01,33114,01109
01,22722,01111
01,57961,01113
01,89512,01115
01,217702,01117
01,12427,01119
01,79978,01121
01,40367,01123
01,209355,01125
01,63521,01127
01,16326,01129
01,10373,01131
01,23629,01133
02,731545,02000
02,3337,02013
02,5634,02016
02,288000,02020
02,18386,02050
02,836,02060
02,2097,02068
02,4916,02070
02,96849,02090
02,2530,02100
02,2148,02105
02,31974,02110
02,58708,02122
02,13901,02130
02,12998,02150
02,8314,02158
02,1592,02164
02,108317,02170
02,10004,02180
02,9832,02185
02,7621,02188
02,3266,02195
02,6203,02198
02,8493,02220
02,1183,02230
02,6893,02240
02,9202,02261
02,2502,02275
02,579,02282
02,5230,02290
04,7278717,04000
04,71887,04001
04,125922,04003
04,143476,04005
04,54018,04007
04,38837,04009
04,9498,04011
04,21108,04012
04,4485414,04013
04,212181,04015
04,110924,04017
04,1047279,04019
04,462789,04021
04,46498,04023
04,235099,04025
04,213787,04027
05,3017804,05000
05,17486,05001
05,19657,05003
05,41932,05005
05,279141,05007
05,37432,05009
05,10763,05011
05,5189,05013
05,28380,05015
05,10118,05017
05,22320,05019
05,14551,05021
05,24919,05023
05,7956,05025
05,23457,05027
05,20846,05029
05,110332,05031
05,63257,05033
05,47955,05035
05,16419,05037
05,7009,05039
05,11361,05041
05,18219,05043
05,126007,05045
05,17715,05047
05,12477,05049
05,99386,05051
05,18265,05053
05,45325,05055
05,21532,05057
05,33771,05059
05,13202,05061
05,37825,05063
05,13629,05065
05,16719,05067
05,66824,05069
05,26578,05071
05,6624,05073
05,16406,05075
05,8857,05077
05,13024,05079
05,12259,05081
05,21466,05083
05,73309,05085
05,16576,05087
05,16694,05089
05,43257,05091
05,40651,05093
05,6701,05095
05,8986,05097
05,8252,05099
05,7753,05101
05,23382,05103
05,10455,05105
05,17782,05107
05,10718,05109
05,23528,05111
05,19964,05113
05,64072,05115
05,8062,05117
05,391911,05119
05,17958,05121
05,24994,05123
05,122437,05125
05,10281,05127
05,7881,05129
05,127827,05131
05,17007,05133
05,17442,05135
05,12506,05137
05,38682,05139
05,16545,05141
05,239187,05143
05,78753,05145
05,6320,05147
05,21341,05149
06,39512223,06000
06,1671329,06001
06,1129,06003
06,39752,06005
06,219186,06007
06,45905,06009
06,21547,06011
06,1153526,06013
06,27812,06015
06,192843,06017
06,999101,06019
06,28393,06021
06,135558,06023
06,181215,06025
06,18039,06027
06,900202,06029
06,152940,06031
06,64386,06033
06,30573,06035
06,10039107,06037
06,157327,06039
06,258826,06041
06,17203,06043
06,86749,06045
06,277680,06047
06,8841,06049
06,14444,06051
06,434061,06053
06,137744,06055
06,99755,06057
06,3175692,06059
06,398329,06061
06,18807,06063
06,2470546,06065
06,1552058,06067
06,62808,06069
06,2180085,06071
06,3338330,06073
06,881549,06075
06,762148,06077
06,283111,06079
06,766573,06081
06,446499,06083
06,1927852,06085
06,273213,06087
06,180080,06089
06,3005,06091
06,43539,06093
06,447643,06095
06,494336,06097
06,550660,06099
06,96971,06101
06,65084,06103
06,12285,06105
